Province,Region,Year,Birthrate,Wage,GRP,CPI
Hunan,South Central China,2004,11.89,13928,111.1,105.1
Guangdong,South Central China,2004,13.13,22116,113.2,103
Guangxi,South Central China,2004,13.32,13579,110.3,104.4
Hainan,South Central China,2004,14.77,12652,109.7,104.4
Chongqing,Southwest China,2004,9.45,14357,112.5,103.7
Sichuan,Southwest China,2004,9.05,14063,111.9,104.9
Guizhou,Southwest China,2004,15.08,12431,110.4,104
Yunnan,Southwest China,2004,15.6,14581,110.3,106
Tibet,Southwest China,2004,17.4,30873,112.1,102.7
Shaanxi,Northwest China,2004,10.59,13024,113,103.1
Gansu,Northwest China,2004,12.43,13623,110.9,102.3
